movieid,movie,pearson,spearman,r2
0,two_men,0.0111194267581179,0.03687346240372474,-0.6299993832713126
1,bridgeville,0.21285810819473278,0.1907018518562761,-0.29395034899551004
2,pockets,0.2963758778566528,0.2742031324018004,-0.18133447097256633
4,inception,0.23176837104184944,0.22350530687140702,-0.21444855311474997
5,social_net,0.19403831503009322,0.17671883257634619,-0.2639840935467647
6,oceans_11,0.18032415984419964,0.18467715222012604,-0.28603359172324716
7,flower,0.030469551898839452,0.011363682884674611,-0.49402047826404677
8,hotel,-0.11385911140364884,-0.09962688011375084,-0.7920144662476372
9,garden,0.03850399574205348,0.04294048135200002,-0.48660495763919165
10,dreary,-0.060843210229594547,-0.07178959143220602,-0.5445017352735066
11,home_alone,0.18684766560587357,0.16366349708050112,-0.29257282326699835
12,brokovich,0.02968144695319035,0.03282942667678747,-0.4638366895574733
13,star_wars,0.1383010268510922,0.11770822564667609,-0.3349283709109171
