movieid,movie,accuracy,balanced_accuracy,roc_auc
0,two_men,0.6906697626418989,0.6670166708291708,0.7421250433979601
1,bridgeville,0.7080707344341246,0.6813638583638584,0.7414911491286491
2,pockets,0.6610014189886482,0.6293881257631257,0.6784083428916763
4,inception,0.6339305125558996,0.6066204698079698,0.6687275133816801
5,social_net,0.730062263501892,0.709513209013209,0.7935499590687091
6,oceans_11,0.6950685844513245,0.6789749278499279,0.7514493257514091
7,flower,0.7178759889920882,0.6948955142080142,0.7706591685320852
8,hotel,0.6032120743034056,0.5798734737484736,0.635859079269496
9,garden,0.7041015221878225,0.6810534257409258,0.7551703083182251
10,dreary,0.5442692208462333,0.5183834984459985,0.5224085167918501
11,home_alone,0.6743228844169247,0.6517842296592297,0.7393321500259
12,brokovich,0.7099849501203991,0.6894043872793874,0.7925886100781934
13,star_wars,0.7333878998968009,0.7202138972138973,0.7960975016495849
